#,Full Name,FullTeamName,Pos.,Ht.,Year,Hometown,userteam,FantasyPts_sum,FantasyPts_mean,rank_pos,rank_global,GP,MIN_mean,PTS_mean,efg%,REB_mean,AST_mean,STL_mean,BLK_mean,3PM_mean,3PA_mean,FTM_mean,TO_mean,FGM_mean,FGA_mean,OREB_sum,OREB_mean,DREB_sum,DREB_mean,MIN_sum,PTS_sum,REB_sum,AST_sum,STL_sum,BLK_sum,TO_sum,FGM_sum,FGA_sum,3PM_sum,3PA_sum,FTM_sum,FTA_sum,FTA_mean,didWin_sum,Previous School,clean_name,ImageURL
33,Lauren Whittaker,Gonzaga Bulldogs,F,6-3,R-Fr.,"Canterbury, New Zealand",UserTeam1,776.0,43.11,1.0,1.0,18.0,26.67,19.61,0.612,9.94,1.06,1.28,0.5,1.17,3.11,4.11,2.61,7.17,12.67,36.0,2.0,143.0,7.94,480.0,353.0,179.0,19.0,23.0,9.0,47.0,129.0,228.0,21.0,56.0,74.0,89.0,4.94,12.0,,lauren whittaker,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/lauren_whittaker-1119.JPG?width=80&quality=90
55,Zeryhia Aokuso,Gonzaga Bulldogs,G,5-10,Jr.,"Amarillo, TX",UserTeam2,285.0,15.83,29.0,47.0,18.0,23.39,8.83,0.447,2.78,2.06,0.56,0.0,0.44,1.39,1.39,2.67,3.5,8.33,10.0,0.56,40.0,2.22,421.0,159.0,50.0,37.0,10.0,0.0,48.0,63.0,150.0,8.0,25.0,25.0,33.0,1.83,12.0,Saint Mary's,zeryhia aokuso,https://d2jpxbzntgxotn.cloudfront.net/images/2025/9/10/zerhyia_aokuso-7494.JPG?width=80&quality=90
0,Jess Lawson,Loyola Marymount Lions,G,5-7,Gr.,"Las Vegas, NV",UserTeam3,575.0,35.94,4.0,6.0,16.0,27.31,15.31,0.442,7.69,1.88,1.62,0.06,0.19,1.06,5.38,1.25,4.88,11.25,49.0,3.06,74.0,4.62,437.0,245.0,123.0,30.0,26.0,1.0,20.0,78.0,180.0,3.0,17.0,86.0,111.0,6.94,9.0,Central Michigan,jess lawson,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Jess_Lawson.jpg?width=80&quality=90
2,Mari Somvichian,Loyola Marymount Lions,G,5-4,Jr.,"Oakland, CA",FreeAgent,15.0,1.36,85.0,140.0,11.0,7.18,0.73,0.25,0.27,0.18,0.27,0.0,0.18,0.82,0.18,0.36,0.18,1.09,2.0,0.18,1.0,0.09,79.0,8.0,3.0,2.0,3.0,0.0,4.0,2.0,12.0,2.0,9.0,2.0,2.0,0.18,6.0,,mari somvichian,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Mari_Somvichian.jpg?width=80&quality=90
4,Allison Clarke,Loyola Marymount Lions,G,5-11,So.,"Anaheim, CA",FreeAgent,72.0,8.0,69.5,113.5,9.0,22.78,4.33,0.278,1.0,1.44,1.11,0.22,0.78,4.44,1.56,1.11,1.0,5.0,1.0,0.11,8.0,0.89,205.0,39.0,9.0,13.0,10.0,2.0,10.0,9.0,45.0,7.0,40.0,14.0,18.0,2.0,5.0,,allison clarke,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Allison_Clarke.jpg?width=80&quality=90
5,Carly Heidger,Loyola Marymount Lions,G,6-3,Sr.,"Dacula, GA",UserTeam1,255.0,15.94,36.0,55.0,16.0,28.31,7.19,0.424,3.5,0.94,1.19,0.0,0.69,3.0,1.62,0.88,2.44,6.56,23.0,1.44,33.0,2.06,453.0,115.0,56.0,15.0,19.0,0.0,14.0,39.0,105.0,11.0,48.0,26.0,31.0,1.94,9.0,Samford,carly heidger,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Carly_Heidger.jpg?width=80&quality=90
7,Ana Milanovic,Loyola Marymount Lions,F,6-2,So.,"Belgrade, Serbia",FreeAgent,26.0,6.5,40.0,134.0,4.0,8.0,2.5,0.429,1.0,0.75,0.5,0.0,0.0,0.5,1.0,0.75,0.75,1.75,1.0,0.25,3.0,0.75,32.0,10.0,4.0,3.0,2.0,0.0,3.0,3.0,7.0,0.0,2.0,4.0,5.0,1.25,3.0,Middle Tennessee,ana milanovic,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Ana_Milanovic.jpg?width=80&quality=90
10,Lova Lagerlid,Loyola Marymount Lions,G,6-1,So.,"Stockholm, Sweden",FreeAgent,1.0,0.33,89.5,146.5,3.0,7.33,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,1.0,2.0,0.67,4.0,1.33,22.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,0.67,2.0,Colorado,lova lagerlid,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Lova_Lagerlid.jpg?width=80&quality=90
13,Ivana Krajina,Loyola Marymount Lions,G,5-11,Sr.,"Kastel Novi, Croatia",FreeAgent,224.0,14.0,42.0,66.0,16.0,27.81,5.94,0.472,1.88,2.31,1.31,0.06,0.94,2.56,0.75,2.75,2.12,5.5,5.0,0.31,25.0,1.56,445.0,95.0,30.0,37.0,21.0,1.0,44.0,34.0,88.0,15.0,41.0,12.0,17.0,1.06,9.0,Texas Tech,ivana krajina,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Ivana_Krajina.jpg?width=80&quality=90
22,Alia Matavao,Loyola Marymount Lions,F,6-0,Jr.,"Las Vegas, NV",FreeAgent,0.0,0.0,49.0,154.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BYU,alia matavao,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Ali_a_Matavao.jpg?width=80&quality=90
24,Kayla Jones,Loyola Marymount Lions,F,6-0,Jr.,"Norman, OK",FreeAgent,165.0,10.31,22.0,83.0,16.0,11.81,4.19,0.543,1.94,0.81,0.31,0.06,0.06,0.31,0.25,0.75,1.94,3.62,18.0,1.12,13.0,0.81,189.0,67.0,31.0,13.0,5.0,1.0,12.0,31.0,58.0,1.0,5.0,4.0,10.0,0.62,9.0,Grayson College,kayla jones,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Kayla_Jones.jpg?width=80&quality=90
28,Andjela Matic,Loyola Marymount Lions,G,5-9,Sr.,"Ub, Serbia",UserTeam4,382.0,23.88,19.0,30.0,16.0,33.94,10.31,0.496,3.44,3.31,0.94,0.0,1.94,4.94,1.62,2.06,3.38,8.75,4.0,0.25,51.0,3.19,543.0,165.0,55.0,53.0,15.0,0.0,33.0,54.0,140.0,31.0,79.0,26.0,35.0,2.19,9.0,Duquesne,andjela matic,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Andjela_Matic.jpg?width=80&quality=90
30,Paula Reus Piza,Loyola Marymount Lions,F,6-1,Gr.,"Palma De Mallorca, Spain",RR,149.0,14.9,25.0,88.0,10.0,17.2,5.9,0.43,4.0,1.3,0.5,0.1,0.3,1.0,1.6,1.2,2.0,5.0,11.0,1.1,29.0,2.9,172.0,59.0,40.0,13.0,5.0,1.0,12.0,20.0,50.0,3.0,10.0,16.0,19.0,1.9,6.0,New Mexico,paula reus piza,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Paula_Reus_Piza.jpg?width=80&quality=90
54,Zawadi Ogot,Loyola Marymount Lions,G,5-11,So.,"Upland, CA",FreeAgent,195.0,12.19,47.0,73.0,16.0,16.31,4.69,0.53,2.38,0.69,0.69,0.19,0.0,0.0,0.31,1.06,2.19,4.12,15.0,0.94,23.0,1.44,261.0,75.0,38.0,11.0,11.0,3.0,17.0,35.0,66.0,0.0,0.0,5.0,14.0,0.88,9.0,,zawadi ogot,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Zawadi_Ogot.jpg?width=80&quality=90
55,Maya Hernandez,Loyola Marymount Lions,F,6-0,Jr.,"San Jose, CA",RR,551.0,34.44,4.0,10.0,16.0,28.81,15.06,0.488,5.81,1.62,1.62,0.81,0.0,0.31,2.44,2.25,6.31,12.94,42.0,2.62,51.0,3.19,461.0,241.0,93.0,26.0,26.0,13.0,36.0,101.0,207.0,0.0,5.0,39.0,64.0,4.0,9.0,,maya hernandez,https://d2vhz6gv4pigvw.cloudfront.net/images/2025/10/2/Maya_Hernandez.jpg?width=80&quality=90
2,Aniya Hooker,Santa Clara Broncos,G,5-8,So.,"Lynnwood, WA",UserTeam4,412.0,21.68,16.5,25.5,19.0,25.32,6.16,0.495,2.58,1.89,1.74,0.37,0.79,2.21,0.74,0.89,2.32,5.47,17.0,0.89,32.0,1.68,481.0,117.0,49.0,36.0,33.0,7.0,17.0,44.0,104.0,15.0,42.0,14.0,21.0,1.11,15.0,,aniya hooker,https://santaclarabroncos.com/images/2025/9/18/hooker_aniyaDJR13246.JPG?width=80&quality=90
3,Kate Schat,Santa Clara Broncos,G,5-9,Fr.,"Redwood Valley, CA",FreeAgent,110.0,6.11,63.0,97.5,18.0,10.11,3.39,0.434,1.17,0.78,0.28,0.06,0.72,2.78,0.44,0.61,1.11,3.39,4.0,0.22,17.0,0.94,182.0,61.0,21.0,14.0,5.0,1.0,11.0,20.0,61.0,13.0,50.0,8.0,14.0,0.78,15.0,,kate schat,https://santaclarabroncos.com/images/2025/9/18/schat_katieDJR13224.JPG?width=80&quality=90
4,Maddy Warberg,Santa Clara Broncos,G,5-11,Fr.,"Eugene, OR",FreeAgent,0.0,0.0,94.5,154.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,maddy warberg,https://santaclarabroncos.com/images/2025/9/18/warberg_maddyDJR13195.JPG?width=80&quality=90
5,Sara Schmerbach,Santa Clara Broncos,G,5-11,Fr.,"South Medford, OR",FreeAgent,0.0,0.0,94.5,154.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,sara schmerbach,https://santaclarabroncos.com/images/2025/9/18/schimerbach_saraDJR13228.JPG?width=80&quality=90
6,Sienna Grieger,Santa Clara Broncos,G,5-9,Fr.,"West Adelaide, Australia",FreeAgent,54.0,5.4,75.0,121.0,10.0,5.8,2.0,0.5,1.0,0.7,0.0,0.0,0.3,1.3,0.1,0.3,0.8,1.9,3.0,0.3,7.0,0.7,58.0,20.0,10.0,7.0,0.0,0.0,3.0,8.0,19.0,3.0,13.0,1.0,1.0,0.1,10.0,,sienna grieger,https://santaclarabroncos.com/images/2025/9/18/grieger_siennaDJR13186.JPG?width=80&quality=90
9,Maia Jones,Santa Clara Broncos,G,5-10,R-Jr.,"Tasman, New Zealand",UserTeam2,605.0,31.84,3.0,5.0,19.0,24.95,15.11,0.509,4.32,2.26,1.42,0.58,2.32,6.53,3.21,1.95,4.79,11.68,29.0,1.53,53.0,2.79,474.0,287.0,82.0,43.0,27.0,11.0,37.0,91.0,222.0,44.0,124.0,61.0,75.0,3.95,15.0,,maia jones,https://santaclarabroncos.com/images/2025/9/18/jones_maiaDJR13254.JPG?width=80&quality=90
10,Lauren Grover,Santa Clara Broncos,F,6-1,Sr.,"Corona, CA",FreeAgent,38.0,5.43,37.0,125.0,7.0,4.0,1.43,0.556,1.14,0.43,0.14,0.0,0.0,0.0,0.0,0.29,0.71,1.29,3.0,0.43,5.0,0.71,28.0,10.0,8.0,3.0,1.0,0.0,2.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,7.0,,lauren grover,https://santaclarabroncos.com/images/2025/9/18/grover_laurenDJR13261.JPG?width=80&quality=90
11,Alana Goodchild,Santa Clara Broncos,F,6-2,Sr.,"Sydney, Australia",FreeAgent,10.0,1.11,45.5,141.5,9.0,4.11,1.0,0.143,1.11,0.0,0.11,0.0,0.0,0.89,0.56,0.11,0.22,1.56,6.0,0.67,4.0,0.44,37.0,9.0,10.0,0.0,1.0,0.0,1.0,2.0,14.0,0.0,8.0,5.0,10.0,1.11,9.0,,alana goodchild,https://santaclarabroncos.com/images/2025/9/18/goodchild_alannaDJR13217.JPG?width=80&quality=90
12,Sophie Glancey,Santa Clara Broncos,F,6-2,Gr.,"Boise, ID",UserTeam2,679.0,37.72,2.0,3.0,18.0,24.61,14.56,0.513,7.0,0.78,0.83,2.0,0.56,2.06,3.22,0.89,5.39,11.06,45.0,2.5,81.0,4.5,443.0,262.0,126.0,14.0,15.0,36.0,16.0,97.0,199.0,10.0,37.0,58.0,71.0,3.94,14.0,,sophie glancey,https://santaclarabroncos.com/images/2025/9/18/glancey_sophieDJR13209_dcKrR.JPG?width=80&quality=90
13,Ava Schmidt,Santa Clara Broncos,F,6-2,Jr.,"Sammamish, WA",UserTeam1,527.0,29.28,5.0,13.0,18.0,24.39,10.22,0.483,4.61,0.94,1.28,2.22,1.94,5.67,0.83,0.89,3.72,9.72,20.0,1.11,63.0,3.5,439.0,184.0,83.0,17.0,23.0,40.0,16.0,67.0,175.0,35.0,102.0,15.0,23.0,1.28,14.0,,ava schmidt,https://santaclarabroncos.com/images/2025/9/18/schmidt_avaDJR13235.JPG?width=80&quality=90
20,Delainey Miller,Santa Clara Broncos,G,5-10,Fr.,"Aurora, CO",UserTeam1,314.0,16.53,25.0,39.0,19.0,16.68,5.79,0.381,5.11,1.53,0.74,0.63,0.11,1.05,1.58,1.53,2.05,5.53,33.0,1.74,64.0,3.37,317.0,110.0,97.0,29.0,14.0,12.0,29.0,39.0,105.0,2.0,20.0,30.0,54.0,2.84,15.0,,delainey miller,https://santaclarabroncos.com/images/2025/9/18/miller_delaneyDJR13189.JPG?width=80&quality=90
23,Ashley Hawkins,Santa Clara Broncos,G,5-6,Gr.,"Long Beach, CA",UserTeam4,717.0,37.74,1.0,2.0,19.0,30.37,12.58,0.463,3.95,6.21,1.58,0.05,1.42,4.47,2.63,2.26,4.26,10.74,12.0,0.63,63.0,3.32,577.0,239.0,75.0,118.0,30.0,1.0,43.0,81.0,204.0,27.0,85.0,50.0,64.0,3.37,15.0,,ashley hawkins,https://santaclarabroncos.com/images/2025/9/18/hawkins_ashleyDJR13268.JPG?width=80&quality=90
24,Reilly Clark,Santa Clara Broncos,G,5-10,R-So.,"Tucson, AZ",FreeAgent,0.0,0.0,94.5,154.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,reilly clark,https://santaclarabroncos.com/images/2025/9/18/clark_reillyDJR13192.JPG?width=80&quality=90
30,Kylee Fox,Santa Clara Broncos,F,5-11,Jr.,"Richland, WA",UserTeam3,474.0,24.95,7.0,19.0,19.0,26.42,10.26,0.518,4.21,1.32,1.11,0.21,1.79,4.63,1.21,0.58,3.63,8.74,26.0,1.37,54.0,2.84,502.0,195.0,80.0,25.0,21.0,4.0,11.0,69.0,166.0,34.0,88.0,23.0,25.0,1.32,15.0,,kylee fox,https://santaclarabroncos.com/images/2025/9/18/fox_kyleeDJR13231_lFMvf.JPG?width=80&quality=90
34,Tyler Gildersleeve-Stiles,Santa Clara Broncos,F,6-1,Fr.,"Snohomish, WA",UserTeam3,293.0,15.42,15.0,43.0,19.0,13.79,3.84,0.451,4.58,0.95,0.84,0.37,0.05,0.21,0.42,0.74,1.68,3.79,34.0,1.79,53.0,2.79,262.0,73.0,87.0,18.0,16.0,7.0,14.0,32.0,72.0,1.0,4.0,8.0,18.0,0.95,15.0,,tyler gildersleeve-stiles,https://images.sidearmdev.com/resize?url=https%3a%2f%2fdbukjj6eu5tsf.cloudfront.net%2fsidearm.sites%2fsantaclara.sidearmsports.com%2fimages%2f2025%2f9%2f18%2fgildersleevestiles_tylerDJR13266_mSdFb.JPG&width=80&type=webp&quality=90
0,Jada Hunter,Saint Mary's Gaels,G,5-10,Jr.,"Vallejo, CA",UserTeam3,282.0,15.67,31.0,49.0,18.0,23.0,4.94,0.36,2.5,2.11,2.0,0.17,0.22,1.0,1.39,2.39,1.67,4.94,7.0,0.39,38.0,2.11,414.0,89.0,45.0,38.0,36.0,3.0,43.0,30.0,89.0,4.0,18.0,25.0,36.0,2.0,11.0,Laney College,jada hunter,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/5/Jada_Hunter.png?width=80&quality=90
2,Amy Kurkowski,Saint Mary's Gaels,G,6-1,So.,"Melbourne, Australia",FreeAgent,116.0,6.82,61.0,95.0,17.0,11.06,2.29,0.453,1.65,0.65,0.41,0.24,0.41,1.35,0.59,0.76,0.65,1.88,14.0,0.82,14.0,0.82,188.0,39.0,28.0,11.0,7.0,4.0,13.0,11.0,32.0,7.0,23.0,10.0,11.0,0.65,10.0,,amy kurkowski,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/5/Amy_Kurkowski.png?width=80&quality=90
3,Mauriana Hashemian-Orr,Saint Mary's Gaels,G,5-7,So.,"Portland, OR",UserTeam4,335.0,18.61,22.0,36.0,18.0,20.17,5.06,0.5,2.89,2.89,1.33,0.17,0.06,0.39,1.11,2.17,1.94,3.94,9.0,0.5,43.0,2.39,363.0,91.0,52.0,52.0,24.0,3.0,39.0,35.0,71.0,1.0,7.0,20.0,31.0,1.72,11.0,,mauriana hashemian-orr,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/17/MHO.jpg?width=80&quality=90
4,Charlece Ohiaeri,Saint Mary's Gaels,G,6-1,Jr.,"Las Vegas, NV",FreeAgent,107.0,5.94,64.0,99.5,18.0,11.33,2.61,0.35,1.72,0.33,0.67,0.11,0.11,1.17,0.28,0.67,1.11,3.33,10.0,0.56,21.0,1.17,204.0,47.0,31.0,6.0,12.0,2.0,12.0,20.0,60.0,2.0,21.0,5.0,10.0,0.56,11.0,Depaul,charlece ohiaeri,https://duq7p5k7s6jsa.cloudfront.net/images/2025/7/8/Charlece_Ohiaeri_Summer_Headshot.png?width=80&quality=90
5,Abigail Shoff,Saint Mary's Gaels,F,6-0,Jr.,"Redding, CA",FreeAgent,248.0,13.78,16.0,58.0,18.0,21.22,6.83,0.432,3.44,0.72,0.72,0.06,0.56,2.06,0.83,1.06,2.72,6.94,20.0,1.11,42.0,2.33,382.0,123.0,62.0,13.0,13.0,1.0,19.0,49.0,125.0,10.0,37.0,15.0,22.0,1.22,11.0,Long Beach State,abigail shoff,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/5/Abigail_Shoff.png?width=80&quality=90
7,Edie Clarke,Saint Mary's Gaels,F,6-4,So.,"Melbourne, Australia",UserTeam3,515.0,28.61,6.0,14.0,18.0,24.0,7.94,0.603,5.28,1.72,2.22,1.11,0.17,0.56,0.78,2.56,3.5,5.94,41.0,2.28,54.0,3.0,432.0,143.0,95.0,31.0,40.0,20.0,46.0,63.0,107.0,3.0,10.0,14.0,22.0,1.22,11.0,,edie clarke,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/5/Edie_Clarke.png?width=80&quality=90
8,Emily Foy,Saint Mary's Gaels,G,6-1,Jr.,"Newcastle, Australia",FreeAgent,252.0,14.0,37.5,56.5,18.0,21.72,7.67,0.516,2.56,1.28,0.39,0.11,0.78,2.72,0.67,1.72,3.11,6.78,9.0,0.5,37.0,2.06,391.0,138.0,46.0,23.0,7.0,2.0,31.0,56.0,122.0,14.0,49.0,12.0,16.0,0.89,11.0,,emily foy,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/5/Emily_Foy.png?width=80&quality=90
10,Georgia Grigoropoulou,Saint Mary's Gaels,F,6-3,Sr.,"Athens, Greece",FreeAgent,110.0,6.11,27.0,97.5,18.0,6.89,2.78,0.513,1.67,0.33,0.22,0.11,0.0,0.0,0.56,0.78,1.11,2.17,10.0,0.56,20.0,1.11,124.0,50.0,30.0,6.0,4.0,2.0,14.0,20.0,39.0,0.0,0.0,10.0,19.0,1.06,11.0,Santa Clara,georgia grigoropoulou,https://duq7p5k7s6jsa.cloudfront.net/images/2025/7/8/Georgia_Grigoropoulou_Summer_Headshot.png?width=80&quality=90
11,Coco Urlacher,Saint Mary's Gaels,G,5-10,Fr.,"Palatine, IL",FreeAgent,-5.0,-1.0,99.0,161.0,5.0,5.2,0.0,0.0,0.8,0.0,0.2,0.0,0.0,1.0,0.0,0.4,0.0,1.0,3.0,0.6,1.0,0.2,26.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,3.0,,coco urlacher,https://duq7p5k7s6jsa.cloudfront.net/images/2025/7/8/Coco_Urlacher_Summer_Headshot.png?width=80&quality=90
13,Malia Latu,Saint Mary's Gaels,G,5-8,Gr.,"East Palo Alto, CA",FreeAgent,235.0,13.06,40.0,62.0,18.0,21.89,5.72,0.359,2.67,2.22,1.17,0.06,0.11,0.61,1.06,2.89,2.28,6.5,17.0,0.94,31.0,1.72,394.0,103.0,48.0,40.0,21.0,1.0,52.0,41.0,117.0,2.0,11.0,19.0,23.0,1.28,11.0,Santa Clara,malia latu,https://duq7p5k7s6jsa.cloudfront.net/images/2025/7/8/Malia_Latu_Summer_Headshot.png?width=80&quality=90
22,Melesungu Afeaki,Saint Mary's Gaels,F,6-2,Sr.,"San Bruno, CA",FreeAgent,93.0,5.17,31.0,105.0,18.0,9.0,2.61,0.439,1.22,0.39,0.0,0.17,0.0,0.06,0.61,0.72,1.0,2.28,10.0,0.56,12.0,0.67,162.0,47.0,22.0,7.0,0.0,3.0,13.0,18.0,41.0,0.0,1.0,11.0,14.0,0.78,11.0,University of San Diego,melesungu afeaki,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/5/Melesungu_Afeaki.png?width=80&quality=90
23,Addi Wedin,Saint Mary's Gaels,G,5-10,R-Jr.,"Happy Valley, OR",UserTeam6,296.0,16.44,26.0,41.5,18.0,24.39,8.17,0.5,2.83,1.0,0.94,0.11,1.11,2.78,1.72,1.61,2.67,6.44,15.0,0.83,36.0,2.0,439.0,147.0,51.0,18.0,17.0,2.0,29.0,48.0,116.0,20.0,50.0,31.0,36.0,2.0,11.0,,addi wedin,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/17/AW.jpg?width=80&quality=90
24,Colleena Bryant,Saint Mary's Gaels,G,5-7,Fr.,"Detroit, MI",FreeAgent,0.0,0.0,94.5,154.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,colleena bryant,https://duq7p5k7s6jsa.cloudfront.net/images/2025/7/8/Colleena_Bryant_Summer_Headshot.png?width=80&quality=90
33,Ella Wedin,Saint Mary's Gaels,G,6-1,R-So.,"Happy Valley, OR",FreeAgent,72.0,4.8,69.5,113.5,15.0,8.73,2.53,0.514,0.8,0.27,0.27,0.0,0.8,2.27,0.0,0.33,0.87,2.47,3.0,0.2,9.0,0.6,131.0,38.0,12.0,4.0,4.0,0.0,5.0,13.0,37.0,12.0,34.0,0.0,0.0,0.0,10.0,LMU,ella wedin,https://duq7p5k7s6jsa.cloudfront.net/images/2024/10/5/Ella_Wedin.png?width=80&quality=90
2,Mali Ennis,Pacific Tigers,G,5-10,Sr.,"Burlingame, CA",FreeAgent,30.0,6.0,82.0,130.5,5.0,6.6,3.0,0.5,1.0,0.6,0.2,0.0,0.6,1.6,0.0,0.6,1.2,3.0,3.0,0.6,2.0,0.4,33.0,15.0,5.0,3.0,1.0,0.0,3.0,6.0,15.0,3.0,8.0,0.0,0.0,0.0,2.0,Saint Mary's College,mali ennis,https://pacifictigers.com/images/2025/10/20/Mali_Ennis.png?width=80&quality=90
3,Hannah Burg,Pacific Tigers,G,5-6,Sr.,"Colorado Springs, CO",FreeAgent,59.0,4.92,73.0,119.0,12.0,6.75,1.5,0.471,1.25,1.08,0.33,0.0,0.17,0.75,0.17,1.08,0.58,1.42,4.0,0.33,11.0,0.92,81.0,18.0,15.0,13.0,4.0,0.0,13.0,7.0,17.0,2.0,9.0,2.0,2.0,0.17,4.0,Augustana (SD),hannah burg,https://pacifictigers.com/images/2025/10/20/Hannah_Burg.png?width=80&quality=90
5,Stella Szabo,Pacific Tigers,G,5-11,R-So.,"Stockholm, Sweden",FreeAgent,175.0,10.94,51.0,79.5,16.0,22.31,4.25,0.525,2.75,1.06,0.75,0.06,1.06,2.69,0.31,1.12,1.44,3.75,15.0,0.94,29.0,1.81,357.0,68.0,44.0,17.0,12.0,1.0,18.0,23.0,60.0,17.0,43.0,5.0,12.0,0.75,7.0,Luleaa Gymnasieskola,stella szabo,https://pacifictigers.com/images/2025/10/20/Stella_Szabo.png?width=80&quality=90
7,Liv Yergensen,Pacific Tigers,G,5-11,Fr.,"El Dorado Hills, CA",FreeAgent,102.0,6.8,65.0,102.0,15.0,20.87,4.6,0.352,1.93,1.4,0.4,0.2,0.47,2.4,1.6,2.07,1.27,4.27,6.0,0.4,23.0,1.53,313.0,69.0,29.0,21.0,6.0,3.0,31.0,19.0,64.0,7.0,36.0,24.0,30.0,2.0,7.0,Oak Ridge HS,liv yergensen,https://pacifictigers.com/images/2025/10/20/Liv_Yergensen.png?width=80&quality=90
8,Sophia Mindermann,Pacific Tigers,G,5-10,Fr.,"Folsom, CA",FreeAgent,166.0,10.38,53.0,82.0,16.0,16.44,6.94,0.51,1.12,0.75,0.56,0.0,1.81,5.19,0.5,0.94,2.31,6.31,2.0,0.12,16.0,1.0,263.0,111.0,18.0,12.0,9.0,0.0,15.0,37.0,101.0,29.0,83.0,8.0,11.0,0.69,7.0,Folsom HS,sophia mindermann,https://pacifictigers.com/images/2025/10/20/Sophia_Mindermann.png?width=80&quality=90
9,Marina Radocaj,Pacific Tigers,G/F,6-3,Jr.,"Richmond, Canada",FreeAgent,265.0,16.56,2.0,53.0,16.0,19.81,4.75,0.486,4.81,1.19,0.69,1.38,0.0,0.06,0.25,2.31,2.25,4.62,24.0,1.5,53.0,3.31,317.0,76.0,77.0,19.0,11.0,22.0,37.0,36.0,74.0,0.0,1.0,4.0,14.0,0.88,7.0,Arizona State / R.A. McMath Secondary School,marina radocaj,https://pacifictigers.com/images/2025/10/20/Marina_Radocaj.png?width=80&quality=90
10,Sydney Ward,Pacific Tigers,G/F,6-0,Sr.,"Houston, TX",UserTeam4,437.0,27.31,1.0,23.0,16.0,25.31,10.12,0.539,5.75,1.56,1.12,1.12,0.62,1.75,3.25,2.19,3.12,6.38,32.0,2.0,60.0,3.75,405.0,162.0,92.0,25.0,18.0,18.0,35.0,50.0,102.0,10.0,28.0,52.0,61.0,3.81,7.0,The Village,sydney ward,https://pacifictigers.com/images/2025/10/20/Sydney_Ward.png?width=80&quality=90
11,Luisa Anderegg,Pacific Tigers,F,6-2,Sr.,"Cologne, Germany",FreeAgent,150.0,9.38,24.0,87.0,16.0,11.38,4.19,0.491,1.81,0.81,0.31,0.12,0.81,2.38,0.75,0.62,1.31,3.5,12.0,0.75,17.0,1.06,182.0,67.0,29.0,13.0,5.0,2.0,10.0,21.0,56.0,13.0,38.0,12.0,13.0,0.81,7.0,Midland College,luisa anderegg,https://pacifictigers.com/images/2025/10/20/Luisa_Anderegg.png?width=80&quality=90
