#,Full Name,FullTeamName,Pos.,Ht.,Year,Hometown,userteam,FantasyPts_sum,FantasyPts_mean,rank_pos,rank_global,GP,MIN_mean,PTS_mean,efg%,REB_mean,AST_mean,STL_mean,BLK_mean,3PM_mean,3PA_mean,FTM_mean,TO_mean,FGM_mean,FGA_mean,OREB_sum,OREB_mean,DREB_sum,DREB_mean,MIN_sum,PTS_sum,REB_sum,AST_sum,STL_sum,BLK_sum,TO_sum,FGM_sum,FGA_sum,3PM_sum,3PA_sum,FTM_sum,FTA_sum,FTA_mean,didWin_sum,Previous School,clean_name,ImageURL
15,Lizzy Williamson,Oregon State Beavers,F,6-5,Gr.,"Adelaide, Australia",UserTeam4,296.0,16.44,14.0,41.5,18.0,17.06,5.28,0.465,4.44,0.89,0.39,0.72,0.0,0.06,0.83,0.94,2.22,4.78,30.0,1.67,50.0,2.78,307.0,95.0,80.0,16.0,7.0,13.0,17.0,40.0,86.0,0.0,1.0,15.0,24.0,1.33,13.0,,lizzy williamson,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2025%2F5%2F16%2F25WBB_Recruit_Lizzy_Williamson_0037.jpg&width=603&height=803&gravity=north&type=webp
16,Elisa Mehyar,Oregon State Beavers,F,6-5,So.,"Copenhagen, Denmark",FreeAgent,22.0,2.44,42.0,136.5,9.0,4.22,1.0,0.667,1.0,0.0,0.0,0.11,0.0,0.0,0.11,0.44,0.44,0.67,3.0,0.33,6.0,0.67,38.0,9.0,9.0,0.0,0.0,1.0,4.0,4.0,6.0,0.0,0.0,1.0,4.0,0.44,7.0,,elisa mehyar,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F2%2FWBB_Headshot-10.jpg&width=603&height=803&gravity=north&type=webp
22,Lara Alonso-Basurto,Oregon State Beavers,F,6-3,Fr.,"Madrid, Spain",FreeAgent,230.0,12.78,18.0,63.0,18.0,15.83,5.0,0.486,4.44,0.33,0.28,0.94,0.28,0.94,1.17,1.33,1.78,3.94,31.0,1.72,49.0,2.72,285.0,90.0,80.0,6.0,5.0,17.0,24.0,32.0,71.0,5.0,17.0,21.0,38.0,2.11,13.0,,lara alonso-basurto,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F2%2FWBB_Headshot-10.jpg&width=603&height=803&gravity=north&type=webp
25,Keira Lindemans,Oregon State Beavers,G,6-0,Fr.,"Melbourne, Australia",FreeAgent,78.0,5.57,68.0,109.5,14.0,11.14,1.71,0.404,1.36,0.57,0.57,0.0,0.21,0.93,0.21,0.79,0.64,1.86,4.0,0.29,15.0,1.07,156.0,24.0,19.0,8.0,8.0,0.0,11.0,9.0,26.0,3.0,13.0,3.0,3.0,0.21,12.0,,keira lindemans,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2025%2F5%2F12%2FKL_Headshot.jpg&width=603&height=803&gravity=north&type=webp
30,Catarina Ferreira,Oregon State Beavers,G,6-0,Gr.,"Sao Paulo, Brazil",FreeAgent,0.0,0.0,94.5,154.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,catarina ferreira,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F2%2FWBB_Headshot-7.jpg&width=603&height=803&gravity=north&type=webp
31,Cloe Vecina,Oregon State Beavers,G,5-8,So.,"Vigo, Spain",FreeAgent,90.0,5.29,66.0,107.0,17.0,9.82,1.76,0.357,0.59,0.94,0.53,0.12,0.18,0.53,0.29,1.0,0.65,2.06,2.0,0.12,8.0,0.47,167.0,30.0,10.0,16.0,9.0,2.0,17.0,11.0,35.0,3.0,9.0,5.0,9.0,0.53,12.0,,cloe vecina,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2024%2F10%2F2%2FWBB_Headshot-5.jpg&width=603&height=803&gravity=north&type=webp
32,Néné Sow,Oregon State Beavers,C,6-8,R-Sr.,"Brussels, Belgium",UserTeam2,287.0,15.94,1.0,46.0,18.0,15.11,4.28,0.642,6.28,0.11,0.28,1.11,0.0,0.0,0.5,1.06,1.89,2.94,29.0,1.61,84.0,4.67,272.0,77.0,113.0,2.0,5.0,20.0,19.0,34.0,53.0,0.0,0.0,9.0,24.0,1.33,13.0,,nene sow,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Foregonstate.sidearmsports.com%2Fimages%2F2025%2F5%2F12%2F25WBB_Recruit_Ne_ne__Sow_0060.jpg&width=603&height=803&gravity=north&type=webp
0,Ivory Finley,Pepperdine Waves,G,5-10,Gr.,"Minneapolis, MN",FreeAgent,127.0,8.47,59.5,92.5,15.0,14.67,4.2,0.482,1.67,1.0,0.4,0.13,0.6,1.93,0.67,1.33,1.47,3.67,9.0,0.6,16.0,1.07,220.0,63.0,25.0,15.0,6.0,2.0,20.0,22.0,55.0,9.0,29.0,10.0,14.0,0.93,10.0,Utah State,ivory finley,https://daitadul56i2n.cloudfront.net/images/2025/9/26/0_ivory.jpg?width=80&quality=90
1,Taija Sta. Maria,Pepperdine Waves,G,5-6,Jr.,"Toronto, Ontario, Canada",UserTeam6,263.0,15.47,35.0,54.0,17.0,30.29,5.94,0.425,2.06,3.06,0.82,0.0,0.29,1.47,1.29,2.24,2.18,5.47,5.0,0.29,30.0,1.76,515.0,101.0,35.0,52.0,14.0,0.0,38.0,37.0,93.0,5.0,25.0,22.0,33.0,1.94,10.0,Fresno State,taija sta. maria,https://daitadul56i2n.cloudfront.net/images/2025/9/26/1_taija.jpg?width=80&quality=90
2,Ellison Guiney,Pepperdine Waves,G,5-11,So.,"Goodyear, AZ",UserTeam2,491.0,28.88,11.0,17.0,17.0,32.0,13.94,0.558,3.71,3.0,0.76,0.29,1.94,5.06,2.71,2.59,4.65,10.06,21.0,1.24,42.0,2.47,544.0,237.0,63.0,51.0,13.0,5.0,44.0,79.0,171.0,33.0,86.0,46.0,56.0,3.29,10.0,UNLV,ellison guiney,https://daitadul56i2n.cloudfront.net/images/2025/9/26/2_guiney.jpg?width=80&quality=90
